,,,,,,,,,,,,,
조건별분석,,,,,,,,,,,,,
[검색조건],,,,,,,,,,,,,
,분류: 지상,,,,,,,,,,,,
,요소 : 기온,,,,,,,,,,,,
,검색구분 : 일,,,,,,,,,,,,
,지역/지점명 : 전국,,,,,,,,,,,,
,기간 : 2018 ~ 2023년 01 ~ 12월 01 ~ 31일,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
지역번호,지역명,일시,평균기온(℃),평균최고기온(℃),최고기온(℃),최고기온관측지점,평균최저기온(℃),최저기온(℃),최저기온관측지점일교차,,,,
0,전국,2023-05-28,20.2,21.8,26.9,제주,18.5,14.3,대관령,12.6,,,
0,전국,2023-05-27,20.5,23.9,28.7,경주시,17.6,10.5,대관령,18.2,,,
0,전국,2023-05-26,20.3,25.4,28.2,대구,15.2,10.5,대관령,17.7,,,
0,전국,2023-05-25,19.6,25.8,29,영월,13.9,7.3,대관령,21.7,,,
0,전국,2023-05-24,18,24.8,28.3,강릉,영월,10.6,0.8,대관령,27.5,,
0,전국,2023-05-23,17.2,24.5,27.3,대구,10.6,0.6,대관령,26.7,,,
0,전국,2023-05-22,16.9,21.5,26.8,서울,13.1,4,대관령,22.8,,,
0,전국,2023-05-21,19.1,24.3,30.6,합천,밀양,15.1,11.7,장수,18.9,,
0,전국,2023-05-20,19.2,25.8,28.8,상주,대구,12.9,6.7,대관령,22.1,,
0,전국,2023-05-19,18.8,23.4,27.8,서울,14.5,8.3,대관령,19.5,,,
0,전국,2023-05-18,18.4,22.1,27.7,동두천,15.9,11.3,태백,16.4,,,
0,전국,2023-05-17,22.1,29.2,34.3,동해,14.5,8.9,봉화,25.4,,,
0,전국,2023-05-16,22.1,30.4,35.5,강릉,14.1,9.3,정선군,26.2,,,
0,전국,2023-05-15,18.9,26.7,29.6,대구,10.5,4.2,대관령,25.4,,,
0,전국,2023-05-14,17.1,24,27.8,대구,10.7,7.2,대관령,태백,20.6,,
0,전국,2023-05-13,16.6,22.2,26,안동,11.7,4.5,대관령,21.5,,,
0,전국,2023-05-12,16.9,23.5,27.7,양산시,10.2,4.4,청송군,23.3,,,
0,전국,2023-05-11,16.9,24.3,27.8,광주,9.8,3.8,청송군,24,,,
